,a(p(Raf)),a(p(Mek)),a(p(Erk))
1358,45,63,84
1359,45,59,85
1360,53,74,82
1361,52,61,80
1362,47,59,85
1363,50,60,85
1364,56,79,85
1365,56,66,85
1366,53,60,82
1367,51,51,86
1368,46,63,86
1369,59,57,79
1370,45,54,82
1371,54,65,83
1372,53,68,86
1373,57,77,87
1374,51,65,85
1375,52,64,87
1376,50,62,82
1377,54,61,84
1378,42,51,88
1379,49,62,90
1380,56,77,83
1381,44,55,89
1382,43,54,86
1383,56,65,88
1384,47,66,91
1385,57,69,85
1386,52,65,90
1387,52,70,84
1388,54,68,82
1389,44,59,87
1390,48,58,84
1391,55,67,85
1392,56,65,80
1393,47,65,90
1394,46,65,82
1395,43,61,79
1396,46,62,86
1397,50,70,88
1398,51,60,86
1399,51,65,87
1400,45,54,79
1401,46,67,80
1402,56,67,86
1403,56,71,83
1404,55,73,78
1405,53,74,86
1406,42,61,85
1407,40,56,86
1408,48,70,86
1409,59,64,83
1410,56,58,86
1411,51,65,87
1412,61,64,86
1413,51,67,81
1414,50,59,86
1415,45,66,84
1416,47,69,86
1417,40,64,81
1418,46,58,82
1419,50,61,84
1420,59,70,92
1421,57,65,78
1422,51,74,86
1423,59,69,90
1424,50,61,87
1425,48,67,86
1426,56,70,87
1427,46,60,84
1428,45,57,88
1429,49,62,85
1430,49,72,82
1431,53,69,89
1432,48,59,87
1433,43,53,78
1434,51,61,88
1435,54,61,86
1436,53,63,86
1437,52,63,81
1438,51,64,81
1439,48,63,86
1440,45,69,84
1441,43,57,81
1442,54,72,80
1443,48,56,85
1444,54,70,82
1445,55,72,90
1446,49,56,88
1447,52,59,83
1448,47,67,83
1449,48,54,75
1450,53,67,91
1451,52,66,83
1452,50,64,84
1453,49,56,83
1454,49,71,79
1455,46,64,84
1456,47,63,82
1457,46,59,89
1458,43,66,87
1459,51,71,85
1460,54,74,78
1461,53,61,92
1462,52,61,81
1463,36,51,82
1464,46,62,86
1465,61,75,84
1466,46,68,86
1467,45,49,87
1468,54,69,94
1469,37,56,78
1470,50,59,89
1471,45,64,87
1472,51,61,81
1473,48,63,88
1474,50,67,82
1475,59,67,80
1476,53,59,89
1477,40,58,76
1478,52,64,89
1479,54,65,81
1480,51,70,77
1481,45,52,86
1482,54,73,84
1483,46,74,91
1484,47,68,81
1485,56,62,86
1486,44,63,79
1487,50,59,88
1488,50,67,85
1489,44,55,85
1490,48,59,85
1491,55,81,93
1492,53,69,84
1493,51,63,76
1494,55,71,90
1495,53,68,81
1496,45,73,88
1497,55,71,84
1498,52,60,91
1499,44,65,83
1500,46,67,89
1501,45,59,87
1502,55,67,85
1503,52,71,85
1504,59,76,86
1505,52,64,81
1506,49,65,84
1507,48,60,82
1508,49,67,89
1509,41,60,82
1510,48,66,86
1511,44,62,84
1512,57,68,86
1513,56,68,82
1514,45,58,87
1515,44,61,83
1516,45,61,86
1517,44,61,82
1518,52,60,82
1519,46,65,87
1520,41,56,89
1521,59,60,79
1522,46,58,89
1523,54,57,80
1524,46,59,86
1525,44,57,82
1526,56,67,87
1527,57,69,88
1528,45,64,85
1529,56,74,88
1530,51,58,80
1531,55,73,90
1532,45,61,83
1533,44,58,80
1534,53,64,80
1535,59,68,80
1536,45,65,87
1537,52,56,80
1538,49,65,88
1539,51,67,84
1540,51,74,88
1541,54,68,81
1542,51,70,86
1543,45,68,86
1544,39,53,72
1545,45,63,87
1546,52,66,85
1547,53,71,82
1548,50,62,86
1549,48,70,85
1550,50,51,84
1551,57,63,88
1552,47,65,85
1553,54,69,83
1554,55,65,83
1555,51,66,85
1556,48,70,87
1557,47,57,86
1558,48,59,86
1559,51,65,87
1560,44,60,86
1561,51,61,79
1562,52,63,82
1563,52,64,88
1564,48,67,80
1565,52,64,79
1566,42,52,75
1567,52,63,84
1568,51,69,82
1569,42,66,86
1570,54,63,82
1571,38,59,78
1572,40,54,81
1573,48,65,81
1574,47,69,88
1575,52,66,89
1576,46,57,80
1577,51,62,83
1578,50,55,77
1579,41,58,83
1580,42,55,79
1581,44,58,82
1582,46,69,83
1583,51,63,85
1584,48,67,81
1585,51,55,86
1586,44,58,80
1587,43,66,84
1588,49,58,84
1589,37,54,80
1590,50,62,82
1591,51,67,85
1592,53,62,84
1593,45,62,80
1594,42,66,90
1595,54,71,82
1596,53,73,80
1597,49,63,83
1598,45,67,81
1599,48,67,84
1600,49,63,81
1601,47,65,84
1602,46,64,90
1603,58,71,86
1604,44,57,83
1605,48,66,86
1606,38,58,85
1607,51,68,84
1608,50,64,89
1609,51,69,83
1610,51,66,85
1611,53,72,87
1612,53,62,87
1613,55,65,80
1614,49,62,87
1615,44,56,82
1616,41,52,88
1617,49,65,86
1618,40,63,90
1619,43,59,78
1620,49,58,82
1621,50,63,79
1622,55,68,81
1623,49,53,85
1624,53,72,87
1625,55,67,84
1626,45,59,82
1627,49,70,84
1628,53,62,77
1629,53,70,88
1630,50,63,87
1631,53,58,81
1632,40,52,82
1633,54,60,84
1634,43,58,79
1635,45,60,83
1636,38,53,83
1637,47,59,78
1638,51,68,83
1639,50,66,84
1640,46,57,90
1641,45,54,84
1642,50,65,83
1643,50,61,85
1644,56,67,88
1645,44,72,81
1646,50,67,90
1647,45,55,90
1648,44,60,79
1649,46,69,85
1650,60,64,88
1651,50,56,83
