,a(p(SOS)),a(p(Ras)),a(p(PI3K)),a(p(AKT)),a(p(Raf)),a(p(Mek)),a(p(Erk))
804,47,39,65,57,30,74,91
805,42,42,60,51,31,75,87
806,41,40,62,54,39,85,90
807,36,52,68,66,42,88,92
808,49,47,65,58,39,77,86
809,40,46,56,57,31,78,84
810,44,42,70,58,32,76,84
811,48,46,66,50,34,74,89
812,48,53,65,49,36,76,91
813,49,55,65,52,44,75,91
814,44,52,70,57,33,79,89
815,37,51,62,55,36,77,90
816,44,52,60,60,41,85,84
817,42,45,51,66,31,74,89
818,50,51,74,61,35,81,92
819,48,52,71,51,42,79,85
820,44,48,60,59,27,79,89
821,45,40,68,50,36,75,95
822,42,51,61,54,39,83,87
823,44,38,65,63,26,76,91
824,48,38,66,54,35,73,87
825,50,55,70,54,44,74,88
826,55,45,67,56,32,80,86
827,58,53,62,59,51,80,87
828,44,49,60,59,38,80,96
829,47,42,60,62,37,75,91
830,42,49,64,55,41,81,87
831,41,54,69,64,37,76,91
832,41,36,64,56,26,80,92
833,45,49,63,55,39,72,91
834,50,51,65,45,39,75,88
835,45,41,68,56,32,73,85
836,50,45,61,48,25,77,90
837,46,52,66,60,29,68,88
838,42,42,54,53,40,81,100
839,53,44,69,60,28,72,90
840,36,43,66,56,35,74,91
841,45,47,63,59,30,78,93
842,46,58,54,53,42,81,93
843,46,53,70,52,40,73,94
844,51,43,63,62,28,74,88
845,50,45,64,50,39,84,90
846,48,47,61,49,35,86,93
847,54,56,63,45,34,80,91
848,47,43,64,61,31,81,86
849,41,54,57,48,42,72,93
850,56,41,62,61,37,78,91
851,46,57,59,69,34,71,91
852,43,43,62,51,29,72,78
853,48,61,69,55,40,79,88
854,37,52,61,57,29,75,90
