,a(p(Erk))
545,-13.049026489257812
546,-7.2458648681640625
547,0.36806488037109375
548,-4.176704406738281
549,-8.525146484375
550,-11.781929016113281
551,-19.216751098632812
552,-15.829093933105483
553,-11.335746765136719
554,-12.451583862304688
555,-7.815177917480469
556,1.1319503784179688
557,0.9919052124023438
558,-24.01729583740233
559,-5.782447814941406
560,-19.266769409179673
561,-11.661880493164062
562,-8.2640380859375
563,-8.458892822265625
564,-13.135238647460938
565,-14.677970886230455
566,-3.7207260131835938
567,-1.4767532348632812
568,-5.557159423828125
569,-16.824417114257812
570,-15.223037719726562
571,-10.776191711425781
572,2.6485977172851562
573,-14.070220947265625
574,-11.68902587890625
575,-11.02728271484375
576,-2.3382415771484375
577,-12.949043273925781
578,-8.532447814941406
579,-3.1685562133789062
580,-18.828704833984375
581,-6.172966003417969
582,-21.39870452880858
583,-1.100982666015625
584,-16.769668579101562
585,-10.378143310546875
586,-16.440353393554688
587,-11.884552001953125
588,-2.2558364868164062
589,-2.6505355834960938
590,-6.9814910888671875
591,-11.058906555175781
592,-9.559379577636719
593,-17.745269775390625
594,-4.9090728759765625
595,1.2498092651367188
596,-7.78131103515625
597,-4.7508697509765625
598,-7.0924530029296875
599,-2.79730224609375
600,-9.998397827148438
601,-15.763702392578125
602,-4.7985992431640625
603,-14.109909057617188
604,0.6238021850585938
605,-14.448753356933594
606,-3.0734100341797017
607,-12.834228515624986
608,-12.180625915527344
609,-16.387413024902344
610,-14.368995666503906
611,-7.451080322265625
612,-11.358749389648438
613,-9.337158203125
614,0.13173675537109375
615,-6.4459228515625
616,-14.666275024414062
617,-6.913856506347656
618,-9.598159790039062
619,-13.926528930664062
620,-7.061584472656236
621,-7.852981567382798
622,9.745887756347656
623,-0.075653076171875
624,-10.90521240234375
625,-18.677825927734375
626,-7.8060150146484375
627,-14.616958618164048
628,-15.426788330078125
629,-3.9460067749023438
630,-13.376708984375
631,-10.705062866210952
632,-13.860183715820312
633,-1.9481582641601562
634,-11.273689270019531
635,-12.87335205078125
636,-6.339637756347656
637,-14.314529418945327
638,-14.941787719726562
639,2.1820831298828125
640,-5.246894836425781
641,-5.4015045166015625
642,1.7090988159179688
643,-5.329368591308594
644,-21.05230712890625
645,-16.641578674316406
646,-14.506683349609375
647,-5.2550811767578125
648,-7.009071350097656
649,-12.4443359375
650,-4.067619323730469
651,-10.4176025390625
652,-8.544792175292969
653,-8.173812866210923
654,2.8766326904296875
655,-7.91021728515625
656,-12.45953369140625
657,-4.955413818359375
658,-6.1406402587890625
659,-5.9838409423828125
660,0.31771087646484375
661,-8.064262390136719
662,-5.958808898925781
663,-1.7770919799804688
664,-1.2481613159179688
665,-7.979400634765625
666,-7.183258056640625
667,-9.365974426269531
668,-2.5380020141601562
669,-6.172332763671875
670,-1.1605606079101562
671,-13.288681030273438
672,-3.9413986206054688
673,-7.903984069824219
674,-11.902801513671875
675,-16.380638122558594
676,-5.916130065917969
677,-10.126579284667969
678,-6.576171875
679,-4.875663757324219
680,-1.5654983520507812
681,-2.0680160522460938
682,-2.776611328125
683,-14.62979125976564
684,-15.001815795898452
685,-6.498603820800781
686,-0.765380859375
687,-11.733413696289062
688,-5.591316223144531
689,-11.81951904296875
690,-12.663345336914077
691,-3.023651123046875
692,-3.7978363037109375
693,-20.044303894042955
694,-11.553642272949219
695,-4.5143280029296875
696,-2.44000244140625
697,-2.6711578369140625
698,-3.7780685424804688
699,-13.314628601074219
700,-8.364585876464844
701,-11.713661193847656
702,-9.217124938964844
703,-15.8912353515625
704,-10.462089538574233
705,-6.367179870605469
706,-16.62882232666017
707,-18.731346130371094
708,-16.27021026611328
709,-7.398429870605469
710,-3.2950820922851562
711,-10.493743896484375
712,2.7249298095703125
713,-6.784095764160156
714,-20.652976989746094
715,-0.26049041748046875
716,2.4478378295898438
717,-12.603134155273423
718,-6.562492370605469
719,-6.2658538818359375
720,-6.69158935546875
721,-7.992950439453125
722,-21.480674743652344
723,1.5374832153320312
724,-4.656517028808594
725,-0.910675048828125
726,-3.190582275390625
727,-12.316352844238281
728,-7.738945007324219
729,-1.5564346313476562
730,-18.27332305908203
731,-8.7774658203125
732,-5.058563232421875
733,-8.592292785644531
734,-8.420455932617188
735,-11.332054138183594
736,-11.617378234863281
737,-14.652168273925781
738,-7.062736511230469
739,-8.689254760742188
740,-7.776824951171861
741,-15.999549865722656
742,-6.9301605224609375
743,-13.400688171386719
744,-7.417808532714844
745,-19.753067016601577
746,-12.619972229003906
747,-17.88933563232422
748,-6.2531890869140625
749,-11.852516174316406
750,-11.230621337890625
751,-20.29149627685547
752,-12.73714447021483
753,-7.118141174316406
754,-4.1580810546875
755,-5.401222229003906
756,0.9648895263671875
757,-9.879920959472656
758,-7.163818359375
759,-2.8236923217773295
760,-10.548187255859375
761,-8.964469909667969
762,-11.780670166015625
763,-17.54920196533203
764,-14.264518737792983
765,-6.9625701904296875
766,-5.393104553222656
767,-2.511260986328125
768,-2.3570785522460938
769,-8.624664306640625
770,-1.9469757080078125
771,-8.639274597167969
772,-12.3695068359375
773,-9.378089904785142
774,-5.205497741699219
775,-6.415885925292969
776,-4.4134979248046875
777,-4.594062805175781
778,-2.9181976318359375
779,-8.198570251464844
780,-11.596725463867188
781,-10.656227111816406
782,-0.39447784423828125
783,-7.844833374023452
784,-9.854743957519545
785,-18.197563171386705
786,3.5109710693359375
787,-8.174209594726577
788,-14.90335845947267
789,-7.520057678222656
790,-13.159980773925781
791,-9.368820190429688
792,-10.232040405273438
793,-14.411849975585938
794,-10.376548767089844
795,0.446929931640625
796,-7.554618835449219
797,-6.387428283691406
798,-6.920234680175781
799,-7.3040313720703125
800,-6.490333557128906
801,-3.4805145263671875
802,-9.341018676757812
803,-15.371269226074233
804,-8.804054260253906
805,-1.0887222290039062
806,-9.050048828125
807,-7.870018005371094
808,-5.297340393066406
809,-19.83826446533203
810,-6.822509765625
811,-11.687980651855469
812,-8.137763977050781
813,-10.6666259765625
814,-7.0140228271484375
815,-9.406929016113281
816,-3.0844039916992188
